year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2018,SRH,255,Sunrisers Hyderabad,Mehdi Hasan,Allrounder,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Bipul Sharma,Bowler,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Shreevats Goswami,WK-Batter,India,9,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Tanmay Agarwal,Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Billy Stanlake,Bowler,Australia,1,50.00 L,0.5,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Chris Jordan,Bowler,England,1,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Abhishek Sharma,Bowler,India,4,50.00 L,0.5,lost,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Sachin Baby,Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Trent Boult,Bowler,New Zealand,3,2.00 Cr,2.0,lost,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Sandeep Sharma,Bowler,India,1,3.00 Cr,3.0,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Mohammad Nabi,Allrounder,Afghanistan,6,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Ben Cutting,Allrounder,Australia,6,2.00 Cr,2.0,lost,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Manoj Tiwary,Batter,India,5,95.00 L,0.95,lost,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Evin Lewis,Batter,West Indies,7,3.60 Cr,3.6,lost,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Khaleel Ahmed,Bowler,India,3,3.00 Cr,3.0,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,Basil Thampi,Allrounder,India,2,95.00 L,0.95,won,cricbuzz_all_bids_playwright
2018,SRH,255,Sunrisers Hyderabad,T Natarajan,Bowler,India,1,40.00 L,0.4,won,cricbuzz_all_bids_playwright
