year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2025,CSK,58,Sunrisers Hyderabad,Deepak Chahar,Bowler,India,3,9.00 Cr,9.0,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Akash Deep,Bowler,India,9,3.20 Cr,3.2,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Andre Siddarth C,Batter,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Vansh Bedi,WK-Batter,India,3,55.00 L,0.55,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Shreyas Gopal,Bowler,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Ramakrishna Ghosh,Allrounder,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Kamlesh Nagarkoti,Allrounder,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Jamie Overton,Allrounder,England,1,1.50 Cr,1.5,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Nathan Ellis,Bowler,Australia,3,2.00 Cr,2.0,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Kuldeep Sen,Bowler,India,1,75.00 L,0.75,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Gurjapneet Singh,Bowler,India,13,2.20 Cr,2.2,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Azmatullah Omarzai,Allrounder,Afghanistan,4,2.20 Cr,2.2,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Deepak Hooda,Allrounder,India,8,1.70 Cr,1.7,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Mukesh Choudhary,Bowler,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Gurnoor Brar,Bowler,India,9,1.20 Cr,1.2,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Anshul Kamboj,Allrounder,India,16,3.40 Cr,3.4,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Shaik Rasheed,Batter,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Mukesh Kumar,Bowler,India,11,6.25 Cr,6.25,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Tushar Deshpande,Bowler,India,16,6.25 Cr,6.25,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Nitish Rana,Allrounder,India,6,3.00 Cr,3.0,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Sam Curran,Allrounder,England,2,2.40 Cr,2.4,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Noor Ahmad,Bowler,Afghanistan,9,10.00 Cr,10.0,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Simarjeet Singh,Bowler,India,10,1.40 Cr,1.4,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Robin Minz,WK-Batter,India,4,60.00 L,0.6,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Kumar Kushagra,WK-Batter,India,4,60.00 L,0.6,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Vijay Shankar,Allrounder,India,9,1.20 Cr,1.2,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Ravichandran Ashwin,Allrounder,India,18,9.75 Cr,9.75,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Sameer Rizvi,Allrounder,India,7,90.00 L,0.9,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Abhinav Manohar,Batter,India,14,2.60 Cr,2.6,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Angkrish Raghuvanshi,Batter,India,14,2.80 Cr,2.8,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Nehal Wadhera,Batter,India,14,2.40 Cr,2.4,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Khaleel Ahmed,Bowler,India,8,4.80 Cr,4.8,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Jitesh Sharma,WK-Batter,India,12,6.75 Cr,6.75,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Glenn Maxwell,Allrounder,Australia,4,4.00 Cr,4.0,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Marcus Stoinis,Allrounder,Australia,16,8.50 Cr,8.5,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Mohammed Siraj,Bowler,India,14,8.00 Cr,8.0,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Mohammed Shami,Bowler,India,14,8.00 Cr,8.0,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Liam Livingstone,Allrounder,England,4,8.50 Cr,8.5,lost,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Rachin Ravindra,Allrounder,New Zealand,8,4.00 Cr,4.0,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Rahul Tripathi,Batter,India,12,3.40 Cr,3.4,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Devon Conway,Batter,New Zealand,11,6.25 Cr,6.25,won,cricbuzz_all_bids_playwright
2025,CSK,58,Sunrisers Hyderabad,Harry Brook,Batter,England,11,5.75 Cr,5.75,lost,cricbuzz_all_bids_playwright
