year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2019,KXIP,65,Sunrisers Hyderabad,Murugan Ashwin,Bowler,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Harpreet Brar,Allrounder,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Agnivesh Ayachi,Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Prayas Barman,Batter,India,11,1.40 Cr,1.4,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,PrabhSimran Singh,WK-Batter,India,20,4.80 Cr,4.8,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Darshan Nalkande,Bowler,India,2,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Arshdeep Singh,Bowler,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Hardus Viljoen,Bowler,South Africa,1,75.00 L,0.75,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Oshane Thomas,Bowler,West Indies,6,1.00 Cr,1.0,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Lockie Ferguson,Bowler,New Zealand,3,1.50 Cr,1.5,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Sam Curran,Allrounder,England,6,7.20 Cr,7.2,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Varun Chakravarthy,Bowler,India,13,8.40 Cr,8.4,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Shivam Dube,Batter,India,1,4.00 Cr,4.0,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Sarfaraz Khan,Batter,India,1,25.00 L,0.25,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Anmolpreet Singh,Batter,India,6,75.00 L,0.75,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Mohit Sharma,Bowler,India,6,1.10 Cr,1.1,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Mohammed Shami,Bowler,India,9,4.80 Cr,4.8,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Jaydev Unadkat,Bowler,India,6,8.20 Cr,8.2,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Nicholas Pooran,WK-Batter,West Indies,15,4.20 Cr,4.2,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Jonny Bairstow,WK-Batter,England,3,2.00 Cr,2.0,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Axar Patel,Allrounder,India,13,4.80 Cr,4.8,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Moises Henriques,Allrounder,Australia,1,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Carlos Brathwaite,Allrounder,West Indies,15,4.80 Cr,4.8,lost,cricbuzz_all_bids_playwright
2019,KXIP,65,Sunrisers Hyderabad,Shimron Hetmyer,Batter,West Indies,19,4.00 Cr,4.0,lost,cricbuzz_all_bids_playwright
