year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2021,SRH,255,Sunrisers Hyderabad,Mujeeb Ur Rahman,Bowler,Afghanistan,1,1.50 Cr,1.5,won,cricbuzz_all_bids_playwright
2021,SRH,255,Sunrisers Hyderabad,Kedar Jadhav,Allrounder,India,1,2.00 Cr,2.0,won,cricbuzz_all_bids_playwright
2021,SRH,255,Sunrisers Hyderabad,Tom Curran,Allrounder,England,10,5.00 Cr,5.0,lost,cricbuzz_all_bids_playwright
2021,SRH,255,Sunrisers Hyderabad,Jagadeesha Suchith,Bowler,India,2,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2021,SRH,255,Sunrisers Hyderabad,Krishnappa Gowtham,Allrounder,India,29,9.00 Cr,9.0,lost,cricbuzz_all_bids_playwright
2021,SRH,255,Sunrisers Hyderabad,Adam Milne,Bowler,New Zealand,2,3.00 Cr,3.0,lost,cricbuzz_all_bids_playwright
2021,SRH,255,Sunrisers Hyderabad,Shivam Dube,Allrounder,India,13,3.40 Cr,3.4,lost,cricbuzz_all_bids_playwright
